frequency_Hz,H_real,H_imag,H_magnitude,H_phase_deg,coherence,Gxx,Gyy,Gxy_real,Gxy_imag,valid
100.0,1.007150270387788,-0.038149761811400375,1.0078725472342527,-2.1692649950018112,1.0,1.0,1.0,1.007150270387788,-0.038149761811400375,True
101.0,1.0071792803045114,-0.0385339934986389,1.0079161529262575,-2.1910288716071515,1.0,1.0,1.0,1.0071792803045114,-0.0385339934986389,True
102.0,1.0072074473614554,-0.038918268265506616,1.007959063466947,-2.2127951588541137,1.0,1.0,1.0,1.0072074473614554,-0.038918268265506616,True
103.0,1.007234771535048,-0.03930258578400607,1.008001278887368,-2.2345638860287425,1.0,1.0,1.0,1.007234771535048,-0.03930258578400607,True
104.0,1.0072612528024232,-0.03968694572604093,1.0080427992194423,-2.2563350824149913,1.0,1.0,1.0,1.0072612528024232,-0.03968694572604093,True
105.0,1.00728689114142,-0.04007134776341636,1.008083624495966,-2.2781087772948743,1.0,1.0,1.0,1.00728689114142,-0.04007134776341636,True
106.0,1.007311686530583,-0.04045579156783927,1.0081237547506097,-2.299884999948604,1.0,1.0,1.0,1.007311686530583,-0.04045579156783927,True
107.0,1.007335638949162,-0.0408402768109186,1.00816319001792,-2.32166377965474,1.0,1.0,1.0,1.007335638949162,-0.0408402768109186,True
108.0,1.0073587483771125,-0.04122480316416561,1.008201930333317,-2.34344514569033,1.0,1.0,1.0,1.0073587483771125,-0.04122480316416561,True
109.0,1.0073810147950952,-0.04160937029899414,1.0082399757330964,-2.3652291273310557,1.0,1.0,1.0,1.0073810147950952,-0.04160937029899414,True
110.0,1.0074024381844766,-0.04199397788672092,1.0082773262544282,-2.3870157538513745,1.0,1.0,1.0,1.0074024381844766,-0.04199397788672092,True
111.0,1.0074230185273283,-0.04237862559856581,1.0083139819353577,-2.408805054524665,1.0,1.0,1.0,1.0074230185273283,-0.04237862559856581,True
112.0,1.0074427558064276,-0.04276331310565214,1.0083499428148055,-2.4305970586233685,1.0,1.0,1.0,1.0074427558064276,-0.04276331310565214,True
113.0,1.0074616500052576,-0.043148040079006904,1.0083852089325667,-2.4523917954191345,1.0,1.0,1.0,1.0074616500052576,-0.043148040079006904,True
114.0,1.0074797011080063,-0.04353280618956115,1.008419780329311,-2.474189294182965,1.0,1.0,1.0,1.0074797011080063,-0.04353280618956115,True
115.0,1.0074969090995678,-0.04391761110815017,1.0084536570465843,-2.495989584185354,1.0,1.0,1.0,1.0074969090995678,-0.04391761110815017,True
116.0,1.0075132739655417,-0.04430245450551383,1.0084868391268067,-2.517792694696434,1.0,1.0,1.0,1.0075132739655417,-0.04430245450551383,True
117.0,1.0075287956922327,-0.04468733605229682,1.0085193266132741,-2.5395986549861194,1.0,1.0,1.0,1.0075287956922327,-0.04468733605229682,True
118.0,1.0075434742666518,-0.04507225541904897,1.008551119550157,-2.5614074943242473,1.0,1.0,1.0,1.0075434742666518,-0.04507225541904897,True
119.0,1.0075573096765147,-0.04545721227622552,1.0085822179825015,-2.5832192419807236,1.0,1.0,1.0,1.0075573096765147,-0.04545721227622552,True
120.0,1.0075703019102438,-0.04584220629418738,1.0086126219562288,-2.6050339272256617,1.0,1.0,1.0,1.0075703019102438,-0.04584220629418738,True
121.0,1.007582450956966,-0.04622723714320144,1.0086423315181354,-2.6268515793295313,1.0,1.0,1.0,1.007582450956966,-0.04622723714320144,True
122.0,1.0075937568065145,-0.04661230449344082,1.0086713467158936,-2.6486722275632943,1.0,1.0,1.0,1.0075937568065145,-0.04661230449344082,True
123.0,1.0076042194494284,-0.04699740801498521,1.008699667598051,-2.6704959011985543,1.0,1.0,1.0,1.0076042194494284,-0.04699740801498521,True
124.0,1.0076138388769513,-0.04738254737782109,1.00872729421403,-2.692322629507696,1.0,1.0,1.0,1.0076138388769513,-0.04738254737782109,True
125.0,1.0076226150810337,-0.04776772225184205,1.0087542266141294,-2.7141524417640284,1.0,1.0,1.0,1.0076226150810337,-0.04776772225184205,True
126.0,1.007630548054331,-0.04815293230684909,1.0087804648495229,-2.7359853672419274,1.0,1.0,1.0,1.007630548054331,-0.04815293230684909,True
127.0,1.0076376377902048,-0.04853817721255079,1.0088060089722606,-2.7578214352169756,1.0,1.0,1.0,1.0076376377902048,-0.04853817721255079,True
128.0,1.0076438842827216,-0.04892345663856377,1.0088308590352677,-2.779660674966113,1.0,1.0,1.0,1.0076438842827216,-0.04892345663856377,True
129.0,1.0076492875266543,-0.049308770254412805,1.0088550150923454,-2.8015031157677672,1.0,1.0,1.0,1.0076492875266543,-0.049308770254412805,True
130.0,1.0076538475174808,-0.04969411772953127,1.0088784771981703,-2.823348786902011,1.0,1.0,1.0,1.0076538475174808,-0.04969411772953127,True
131.0,1.0076575642513856,-0.05007949873326125,1.0089012454082955,-2.8451977176506875,1.0,1.0,1.0,1.0076575642513856,-0.05007949873326125,True
132.0,1.0076604377252578,-0.05046491293485398,1.0089233197791498,-2.867049937297569,1.0,1.0,1.0,1.0076604377252578,-0.05046491293485398,True
133.0,1.0076624679366932,-0.05085036000346999,1.0089447003680379,-2.8889054751284844,1.0,1.0,1.0,1.0076624679366932,-0.05085036000346999,True
134.0,1.0076636548839926,-0.051235839608179554,1.0089653872331406,-2.9107643604314757,1.0,1.0,1.0,1.0076636548839926,-0.051235839608179554,True
135.0,1.0076639985661628,-0.051621351417962785,1.0089853804335147,-2.9326266224969264,1.0,1.0,1.0,1.0076639985661628,-0.051621351417962785,True
136.0,1.007663498982916,-0.052006895101710054,1.0090046800290935,-2.9544922906177145,1.0,1.0,1.0,1.007663498982916,-0.052006895101710054,True
137.0,1.0076621561346704,-0.052392470328222245,1.0090232860806863,-2.9763613940893485,1.0,1.0,1.0,1.0076621561346704,-0.052392470328222245,True
138.0,1.00765997002255,-0.052778076766211005,1.009041198649979,-2.9982339622101106,1.0,1.0,1.0,1.00765997002255,-0.052778076766211005,True
139.0,1.0076569406483837,-0.053163714084299075,1.0090584177995332,-3.020110024281202,1.0,1.0,1.0,1.0076569406483837,-0.053163714084299075,True
140.0,1.007653068014707,-0.0535493819510205,1.009074943592788,-3.041989609606876,1.0,1.0,1.0,1.007653068014707,-0.0535493819510205,True
141.0,1.0076483521247608,-0.05393508003482102,1.0090907760940582,-3.0638727474945924,1.0,1.0,1.0,1.0076483521247608,-0.05393508003482102,True
142.0,1.0076427929824914,-0.05432080800405828,1.0091059153685353,-3.085759467255149,1.0,1.0,1.0,1.0076427929824914,-0.05432080800405828,True
143.0,1.007636390592551,-0.05470656552700212,1.0091203614822881,-3.1076497982028277,1.0,1.0,1.0,1.007636390592551,-0.05470656552700212,True
144.0,1.0076291449602974,-0.055092352271834885,1.0091341145022619,-3.1295437696555357,1.0,1.0,1.0,1.0076291449602974,-0.055092352271834885,True
145.0,1.0076210560917944,-0.05547816790665171,1.0091471744962783,-3.1514414109349476,1.0,1.0,1.0,1.0076210560917944,-0.05547816790665171,True
146.0,1.007612123993811,-0.05586401209946077,1.009159541533036,-3.1733427513666457,1.0,1.0,1.0,1.007612123993811,-0.05586401209946077,True
147.0,1.007602348673822,-0.056249884518183614,1.0091712156821115,-3.1952478202802648,1.0,1.0,1.0,1.007602348673822,-0.056249884518183614,True
148.0,1.0075917301400077,-0.05663578483065537,1.0091821970139576,-3.2171566470096273,1.0,1.0,1.0,1.0075917301400077,-0.05663578483065537,True
149.0,1.0075802684012547,-0.0570217127046252,1.0091924855999044,-3.239069260892894,1.0,1.0,1.0,1.0075802684012547,-0.0570217127046252,True
150.0,1.0075679634671546,-0.05740766780775638,1.0092020815121594,-3.260985691272699,1.0,1.0,1.0,1.0075679634671546,-0.05740766780775638,True
151.0,1.0075548153480047,-0.0577936498076267,1.0092109848238071,-3.2829059674962906,1.0,1.0,1.0,1.0075548153480047,-0.0577936498076267,True
152.0,1.007540824054808,-0.05817965837172871,1.0092191956088097,-3.3048301189156772,1.0,1.0,1.0,1.007540824054808,-0.05817965837172871,True
153.0,1.0075259895992734,-0.0585656931674701,1.0092267139420068,-3.326758174887768,1.0,1.0,1.0,1.0075259895992734,-0.0585656931674701,True
154.0,1.007510311993815,-0.05895175386217382,1.009233539899116,-3.3486901647745104,1.0,1.0,1.0,1.007510311993815,-0.05895175386217382,True
155.0,1.0074937912515525,-0.059337840123078495,1.009239673556732,-3.3706261179430337,1.0,1.0,1.0,1.0074937912515525,-0.059337840123078495,True
156.0,1.0074764273863113,-0.05972395161733869,1.0092451149923272,-3.392566063765795,1.0,1.0,1.0,1.0074764273863113,-0.05972395161733869,True
157.0,1.0074582204126226,-0.06011008801202519,1.0092498642842525,-3.4145100316207135,1.0,1.0,1.0,1.0074582204126226,-0.06011008801202519,True
158.0,1.0074391703457228,-0.060496248974125234,1.009253921511736,-3.436458050891314,1.0,1.0,1.0,1.0074391703457228,-0.060496248974125234,True
159.0,1.007419277201554,-0.06088243417054284,1.009257286754885,-3.45841015096687,1.0,1.0,1.0,1.007419277201554,-0.06088243417054284,True
160.0,1.0073985409967638,-0.06126864326809919,1.0092599600946834,-3.480366361242547,1.0,1.0,1.0,1.0073985409967638,-0.06126864326809919,True
161.0,1.0073769617487054,-0.061654875933532735,1.0092619416129947,-3.502326711119536,1.0,1.0,1.0,1.0073769617487054,-0.061654875933532735,True
162.0,1.0073545394754375,-0.062041131833499595,1.0092632313925602,-3.5242912300052027,1.0,1.0,1.0,1.0073545394754375,-0.062041131833499595,True
163.0,1.0073312741957239,-0.06242741063457381,1.0092638295169993,-3.5462599473132235,1.0,1.0,1.0,1.0073312741957239,-0.06242741063457381,True
164.0,1.0073071659290345,-0.0628137120032477,1.0092637360708103,-3.5682328924637314,1.0,1.0,1.0,1.0073071659290345,-0.0628137120032477,True
165.0,1.0072822146955442,-0.06320003560593206,1.0092629511393705,-3.5902100948834543,1.0,1.0,1.0,1.0072822146955442,-0.06320003560593206,True
166.0,1.0072564205161336,-0.06358638110895644,1.0092614748089355,-3.6121915840058536,1.0,1.0,1.0,1.0072564205161336,-0.06358638110895644,True
167.0,1.0072297834123884,-0.06397274817856952,1.0092593071666396,-3.6341773892712714,1.0,1.0,1.0,1.0072297834123884,-0.06397274817856952,True
168.0,1.0072023034066002,-0.06435913648093936,1.0092564483004969,-3.656167540127069,1.0,1.0,1.0,1.0072023034066002,-0.06435913648093936,True
169.0,1.0071739805217654,-0.06474554568215365,1.0092528982993991,-3.6781620660277667,1.0,1.0,1.0,1.0071739805217654,-0.06474554568215365,True
170.0,1.0071448147815862,-0.06513197544822008,1.0092486572531187,-3.7001609964351867,1.0,1.0,1.0,1.0071448147815862,-0.06513197544822008,True
171.0,1.0071148062104702,-0.06551842544506647,1.0092437252523068,-3.7221643608185895,1.0,1.0,1.0,1.0071148062104702,-0.06551842544506647,True
172.0,1.0070839548335297,-0.06590489533854134,1.0092381023884933,-3.7441721886548303,1.0,1.0,1.0,1.0070839548335297,-0.06590489533854134,True
173.0,1.007052260676583,-0.06629138479441386,1.0092317887540887,-3.766184509428478,1.0,1.0,1.0,1.007052260676583,-0.06629138479441386,True
174.0,1.0070197237661536,-0.0666778934783744,1.0092247844423827,-3.788201352631972,1.0,1.0,1.0,1.0070197237661536,-0.0666778934783744,True
175.0,1.0069863441294695,-0.06706442105603465,1.009217089547544,-3.8102227477657595,1.0,1.0,1.0,1.0069863441294695,-0.06706442105603465,True
176.0,1.006952121794465,-0.06745096719292806,1.0092087041646225,-3.832248724338435,1.0,1.0,1.0,1.006952121794465,-0.06745096719292806,True
177.0,1.006917056789779,-0.06783753155451004,1.0091996283895472,-3.854279311866884,1.0,1.0,1.0,1.006917056789779,-0.06783753155451004,True
178.0,1.0068811491447553,-0.06822411380615817,1.009189862319127,-3.8763145398764203,1.0,1.0,1.0,1.0068811491447553,-0.06822411380615817,True
179.0,1.006844398889444,-0.06861071361317267,1.0091794060510522,-3.8983544379009314,1.0,1.0,1.0,1.006844398889444,-0.06861071361317267,True
180.0,1.0068068060545994,-0.0689973306407766,1.0091682596838925,-3.9203990354830176,1.0,1.0,1.0,1.0068068060545994,-0.0689973306407766,True
181.0,1.0067683706716808,-0.06938396455411606,1.009156423317098,-3.942448362174133,1.0,1.0,1.0,1.0067683706716808,-0.06938396455411606,True
182.0,1.0067290927728532,-0.06977061501826068,1.0091438970509996,-3.96450244753473,1.0,1.0,1.0,1.0067290927728532,-0.06977061501826068,True
183.0,1.0066889723909862,-0.07015728169820373,1.009130680986809,-3.986561321134394,1.0,1.0,1.0,1.0066889723909862,-0.07015728169820373,True
184.0,1.0066480095596546,-0.0705439642588625,1.0091167752266186,-4.008625012551992,1.0,1.0,1.0,1.0066480095596546,-0.0705439642588625,True
185.0,1.0066062043131385,-0.07093066236507854,1.0091021798734026,-4.030693551375806,1.0,1.0,1.0,1.0066062043131385,-0.07093066236507854,True
186.0,1.0065635566864226,-0.07131737568161803,1.0090868950310148,-4.052766967203682,1.0,1.0,1.0,1.0065635566864226,-0.07131737568161803,True
187.0,1.0065200667151963,-0.071704103873172,1.009070920804191,-4.074845289643169,1.0,1.0,1.0,1.0065200667151963,-0.071704103873172,True
188.0,1.0064757344358548,-0.07209084660435658,1.009054257298549,-4.096928548311653,1.0,1.0,1.0,1.0064757344358548,-0.07209084660435658,True
