frequency_Hz,H_real,H_imag,H_magnitude,H_phase_deg,coherence,Gxx,Gyy,Gxy_real,Gxy_imag,valid
100.0,0.9769326372698471,-0.151843606417653,0.9886626616662215,-8.834731405045291,1.0,1.0,1.0,0.9769326372698471,-0.151843606417653,True
101.0,0.9766603269346361,-0.1533653704219662,0.9886285101354992,-8.924302441995126,1.0,1.0,1.0,0.9766603269346361,-0.1533653704219662,True
102.0,0.9763871992794861,-0.15488715673593628,0.9885959711826573,-9.013888147100094,1.0,1.0,1.0,0.9763871992794861,-0.15488715673593628,True
103.0,0.9761132545329646,-0.15640896407322064,0.988565045769571,-9.103488226588205,1.0,1.0,1.0,0.9761132545329646,-0.15640896407322064,True
104.0,0.9758384929243227,-0.1579307911473331,0.988535734844844,-9.193102386331008,1.0,1.0,1.0,0.9758384929243227,-0.1579307911473331,True
105.0,0.9755629146834951,-0.15945263667164492,0.9885080393437861,-9.282730331850184,1.0,1.0,1.0,0.9755629146834951,-0.15945263667164492,True
106.0,0.9752865200411,-0.16097449935938576,0.9884819601883911,-9.372371768324152,1.0,1.0,1.0,0.9752865200411,-0.16097449935938576,True
107.0,0.9750093092284388,-0.16249637792364507,0.988457498287317,-9.462026400594713,1.0,1.0,1.0,0.9750093092284388,-0.16249637792364507,True
108.0,0.9747312824774959,-0.16401827107737277,0.9884346545358648,-9.551693933173677,1.0,1.0,1.0,0.9747312824774959,-0.16401827107737277,True
109.0,0.9744524400209381,-0.16554017753338077,0.9884134298159568,-9.641374070249576,1.0,1.0,1.0,0.9744524400209381,-0.16554017753338077,True
110.0,0.9741727820921158,-0.16706209600434377,0.9883938249961184,-9.731066515694302,1.0,1.0,1.0,0.9741727820921158,-0.16706209600434377,True
111.0,0.9738923089250607,-0.16858402520280033,0.9883758409314568,-9.820770973069846,1.0,1.0,1.0,0.9738923089250607,-0.16858402520280033,True
112.0,0.9736110207544877,-0.1701059638411542,0.9883594784636425,-9.910487145635008,1.0,1.0,1.0,0.9736110207544877,-0.1701059638411542,True
113.0,0.973328917815793,-0.17162791063167526,0.9883447384208899,-10.000214736352143,1.0,1.0,1.0,0.973328917815793,-0.17162791063167526,True
114.0,0.9730460003450551,-0.17314986428650048,0.9883316216179378,-10.08995344789392,1.0,1.0,1.0,0.9730460003450551,-0.17314986428650048,True
